channel_id,title,country,source,last_upload,days_since,status
UC0ZcZzDZe8x6-olaRR5-wYw,SanugaPUBG,LK,warehouse,2026-07-31T18:30:39+00:00,1.0,active
UClWdV81I0BoL-GlmPf942Nw,CARTOON ROOM,LK,warehouse,2026-07-28T13:30:09+00:00,4.2,active
UCRf29wQfrsRfhNIVPtkTA_A,New Gen Online School,LK,warehouse,2026-07-22T04:35:14+00:00,10.6,active
UCu7BL-lajtjd42QuNqV3kiQ,ATN Education,LK,warehouse,2026-07-23T04:30:28+00:00,9.6,active
UCfQzTP1jc7JXj8hYtG31osw,Accounting with Lasantha,LK,warehouse,2026-07-31T14:47:05+00:00,1.1,active
UCQfScNdtr5cZ3AAjxnlhEfQ,Hardcore Rugby Edits,LK,warehouse,2026-07-30T13:10:26+00:00,2.2,active
UC0UC13e3Fec7jx_RBwKyX0A,Satellite Lanka,LK,warehouse,2026-07-24T00:28:06+00:00,8.7,active
UC_Urg845xBIOarYXBx_Ko2w, News sri lanka,LK,warehouse,2026-08-01T06:30:16+00:00,0.5,active
UCqrqt9Egbp4Voh3iEUUoorw,ITN News - Sri Lanka,LK,warehouse,2026-08-01T05:26:02+00:00,0.5,active
UCcbOsE5_4LEjtQi8X2PFxDw,Hiru Star,LK,warehouse,2026-08-01T13:43:45+00:00,0.2,active
UCnRg3w-mhthPX-3Wa1cAKDQ,GAME IN SRI LANKA,LK,warehouse,2026-07-26T13:19:41+00:00,6.2,active
UCYf829WTg8Cpx_a-cPtgSQQ,M.C.U-தமிழ்,LK,warehouse,2026-07-31T07:20:33+00:00,1.5,active
UCpamW3WJjX0CgjWGsBxIm2w,GFU Sri Lanka,LK,warehouse,2026-07-30T04:12:11+00:00,2.6,active
UCwKYO2L9xzLtWhSv4ncYCIA,Nilame,LK,warehouse,2026-08-01T13:22:29+00:00,0.2,active
UCKurrM38zebptCChSC6QpuQ,Amazing TV Sri Lanka,LK,warehouse,2026-07-31T11:15:21+00:00,1.3,active
UCHtTguUXuXNqadJm-iVG9rw,TechXpress Sinhala,LK,warehouse,2026-07-17T13:51:24+00:00,15.2,active
UC3oMopXIfvenPQSVfaGifnw,Shanaka Thushanga Auto Tech Academy,LK,warehouse,2026-07-31T13:12:14+00:00,1.2,active
