category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d30_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
News & Politics,865.0,False,si,6,6,True,36,529000.0,6160.0,1717.4097151668866,23615.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Howto & Style,7.0,True,en,19,5,True,0,7880.0,6496.0,1944.2504592304747,1287.0,evening,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Education,6.0,True,si,7,1,False,0,521000.0,5482.0,1155.4250562445138,76497.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Education,571.0,False,si,14,3,False,0,187000.0,3434.0,2193.8085919938426,27976.0,morning_afternoon,100k_to_250k,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Education,3601.0,False,si,20,4,False,26,10600.0,142.0,3585.479826388889,18.0,evening,10k_to_100k,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
News & Politics,506.0,False,si,11,0,False,36,529000.0,6160.0,1718.6419836854052,5535.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Autos & Vehicles,9.0,True,si,18,5,True,0,17800.0,393.0,926.943571754236,1678.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Education,1090.0,False,si,18,5,True,0,7140.0,777.0,2240.938805976481,151.0,evening,1k_to_10k,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
News & Politics,658.0,False,si,19,3,False,41,917000.0,65293.0,2523.352071759259,637.0,evening,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,29.0,True,si,17,2,False,0,62600.0,524.0,1048.8242681180673,2567.0,evening,10k_to_100k,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
News & Politics,92.0,False,si,21,3,False,17,287000.0,10213.0,1236.6210921574884,83.0,late_night,250k_to_500k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sports,12.0,True,en,8,5,True,0,2340.0,1098.0,675.8788514680093,1635.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
