horizon_days,horizon_row_position,source_row_index,video_id,channel_id,partition,cv_validation_fold
7,0,1,_QPkBnlKkcM,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,1,2,kfnMpp_pcxY,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,2,5,o6vDY4kVm-o,UCh9qXeL8eP3Txra2908xksg,development,4
7,3,7,0I8JYUUcdek,UCCK3OZi788Ok44K97WAhLKQ,development,2
7,4,9,Fw6p2LX7ur4,UCPaa9NR1c6o7QW8kHYbR9Rg,test_reserved,
7,5,11,V0Ac5WwBEFo,UC1YGPDtctHGJWW0NrlQVklw,test_reserved,
7,6,13,dApf7P2XKxM,UCCK3OZi788Ok44K97WAhLKQ,development,2
7,7,19,9RrQpaRMzJA,UCkOBWuInZXAP0DT3iAT5hYw,development,5
7,8,23,J_IpvetBamE,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,9,26,untzymglTZo,UC4eGpfS24gqdLVjR0S4Wgow,development,1
7,10,27,waWDNd1IZoc,UCRDDfbYPHX_GUJ4lcQYTc8A,development,3
7,11,31,kJSuWn0E3Vc,UCg22fUwQQF-7Sf6-TIVIFrA,development,5
7,12,32,sx3mD2lcACA,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,13,33,_7m0uLBIYp0,UCOtYyt7W5PmPnwQjWWF_Z-Q,development,3
7,14,37,RtyDY52ZoDA,UCQTcNhAZidy1i9wwmdgf2Lw,test_reserved,
7,15,39,zeYELlzuFjM,UC-GRFwciK7JiP8T4tl0pftQ,test_reserved,
7,16,40,ogyBkIjxbTM,UCQTcNhAZidy1i9wwmdgf2Lw,test_reserved,
7,17,42,RHJE7ia0nCE,UCOje-ElpruRxg2XWnWwue7w,development,2
7,18,44,YwZsiMluGUA,UCAgBGlUKoAQFXMUzshrWDgg,development,3
7,19,45,RhW5RyYA_Vo,UCgnFSj7jQffD5V5m05j4dPw,development,4
7,20,46,hzEE0K4gMXI,UCYf829WTg8Cpx_a-cPtgSQQ,development,3
7,21,49,QL5daarNVbM,UC9WC9lfrR4XNDTn1AiBDinQ,test_reserved,
7,22,52,CxU8PB87Bbk,UCF0uUUUTf2kzN8lz20-iksg,development,4
7,23,53,-eafojI-6FU,UCgdbMwr1jX4DVkoDXHScjhw,development,3
7,24,56,eGiWyZdggII,UCCK3OZi788Ok44K97WAhLKQ,development,2
7,25,62,rSlTCn2H8vA,UCh9qXeL8eP3Txra2908xksg,development,4
7,26,63,RCn6DLzYZ3s,UC6jQt9K_jqnBNtsRf7hXHsA,test_reserved,
7,27,64,ON3KjKzsyJA,UCgnFSj7jQffD5V5m05j4dPw,development,4
7,28,70,x3z5fa2rn7o,UC2GNitBc9qBFZd0329eYOPg,development,3
7,29,71,0zBPaAR0-Sg,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,30,73,GMVD_l7AJE4,UCkD2Gixzde52jx1XspNvrBw,development,5
7,31,74,CtfntrrY5Io,UCTa7XGYF8a8jFVozt8rEIlw,development,1
7,32,75,fsuyfiF5R2E,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,33,76,upBVnRTPmuA,UC3cLeuBcLQ2vwEbVfdlfXyg,development,3
7,34,78,FFLwsMB_8Dw,UCCK3OZi788Ok44K97WAhLKQ,development,2
7,35,80,ttxJRLoDcDM,UCckltLEhFLv8Xz_lQhYfwmg,development,1
7,36,89,OWHcQ3yv2gY,UCbR7juPwtP-bV_w0840ciYQ,test_reserved,
