horizon_days,horizon_row_position,source_row_index,video_id,channel_id,partition,cv_validation_fold
21,0,0,iLLYtcj6o54,UCqrqt9Egbp4Voh3iEUUoorw,development,3
21,1,4,bsF8BNhZpAM,UC1CkcuwxCW_dIchuR0tTCJw,development,5
21,2,5,o6vDY4kVm-o,UCh9qXeL8eP3Txra2908xksg,development,3
21,3,6,kuH_QSt4VTs,UCf2Iar2LDcFaSCnVH1ZMUkA,development,2
21,4,12,-5P1-uFbSG4,UCbR7juPwtP-bV_w0840ciYQ,development,4
21,5,13,dApf7P2XKxM,UCCK3OZi788Ok44K97WAhLKQ,test_reserved,
21,6,24,CF0i04rQ3fg,UCh9qXeL8eP3Txra2908xksg,development,3
21,7,37,RtyDY52ZoDA,UCQTcNhAZidy1i9wwmdgf2Lw,development,2
21,8,41,1ViftpcouPg,UCckltLEhFLv8Xz_lQhYfwmg,development,1
21,9,43,4_dJVLAkLvc,UC_oQPOpRefuPENfsJ404nmA,development,4
21,10,54,JrBxD42hIJ0,UCm3mXl7hQbHVMxhKaOeEhYA,development,4
21,11,55,ZehWbSt1y_0,UCXm0FsS7PXy0w5HeOkYMi7Q,test_reserved,
21,12,62,rSlTCn2H8vA,UCh9qXeL8eP3Txra2908xksg,development,3
21,13,68,9VHnRKz5LhA,UCaESx7Bdghv_UICcG1hBkcg,development,5
21,14,82,sLNx0jEXw-g,UCYEmdesrRlDICr6v6LnX5Bg,development,4
21,15,84,sJtVLRMa-p0,UCBQ_5txpN9srcPmkpJytDvw,development,4
21,16,86,cqfu_zOsP7k,UCRDDfbYPHX_GUJ4lcQYTc8A,test_reserved,
21,17,88,d4fP_vEQu60,UCVfnhhDIkkBJ_1QyzCqeVDg,development,5
21,18,91,SkkaZ1x5M9o,UCCK3OZi788Ok44K97WAhLKQ,test_reserved,
21,19,94,iznw9MySi48,UCPXSUKHTNc1_hnHuj-UiQWQ,development,3
21,20,95,SpJ_vLAC2Qs,UCc30sTBdN9LRSxEuHaXV_bQ,development,2
21,21,98,gz-QT0F5Hh8,UCCK3OZi788Ok44K97WAhLKQ,test_reserved,
21,22,99,mnQLpDx3mHI,UCbS_glb2N1NVTrDLVryRbng,development,4
21,23,105,SKOaEY4N6OQ,UC0RX5hQE6UpHTjfub4NZSPg,test_reserved,
21,24,107,MjEWM13JtZY,UCHtKFAn73LJU4wB_w54wNCw,development,5
21,25,108,T9xKhRU5jb0,UC-GRFwciK7JiP8T4tl0pftQ,development,3
21,26,110,QGlAOOzIUps,UCaIc6SgS90ud_RgMSC6hW_w,development,4
21,27,114,xshemXvxB1U,UC2sO_F_Ky4LIAUtSJYXqBDA,development,2
21,28,117,3gCORK7vepQ,UCMxeqmVKOqiqh7V_A3h4gfA,development,5
21,29,120,RRj229U_v3I,UCckltLEhFLv8Xz_lQhYfwmg,development,1
21,30,121,WFJfgJxb7-w,UCckltLEhFLv8Xz_lQhYfwmg,development,1
21,31,125,n_lUftEiEKg,UCCK3OZi788Ok44K97WAhLKQ,test_reserved,
21,32,127,0tAo3MQptS8,UCm8I2aLYgPm_gdzw4SSkiGg,development,5
21,33,128,94pRqsbsoCM,UC4VkNi2RZSJyqXsFaJYfsPg,test_reserved,
21,34,133,9JAbIMEJ3-E,UC0JsqPe9WUywp6hd6vTcxkw,development,2
21,35,134,ApUQOS7Z6gM,UCckltLEhFLv8Xz_lQhYfwmg,development,1
21,36,136,O8HY7jKn0-w,UCn0XmAUFv6d2tofMFEesSNw,development,5
21,37,143,WbE0RZ9AjRI,UCAGQUfHzdsgxJ1pq2XDS2TQ,development,2
21,38,147,XuDwSYeUOeI,UCckltLEhFLv8Xz_lQhYfwmg,development,1
21,39,149,g7uKE_fe1K0,UCbS_glb2N1NVTrDLVryRbng,development,4
21,40,155,37rKWbgiRJM,UChrXmunslU0Xg7MVsJs5Kkg,development,3
21,41,157,Gg2qa2-bJZM,UCIKg0Ev6Vq2M7hU7bL_jHFQ,development,5
21,42,158,K1hMS-nw0YM,UCckltLEhFLv8Xz_lQhYfwmg,development,1
21,43,171,GYexTwnzH_k,UCbR7juPwtP-bV_w0840ciYQ,development,4
21,44,174,B5y0erM9ffs,UCldiq7Z0JJVSkGXVgfV2qtg,development,3
21,45,175,ElNBpW1mhQk,UCkagcQYGoYFuXsUg-ObSL6A,test_reserved,
21,46,176,Yw82dOmf5Cw,UCIKg0Ev6Vq2M7hU7bL_jHFQ,development,5
21,47,179,xWmkRSY0S00,UC4j4HUyjjgMALWnjN1v7z7A,development,4
