video_id,channel_id,title,description,tags,published_at,category_id,category_name,duration,definition,caption,default_audio_language,default_language,thumbnail_url,made_for_kids
LJR5XmUzTts,UCckltLEhFLv8Xz_lQhYfwmg,"පහුගිය කාලේ පොහොර තිබුණේ නැත්නම්, දැන් වතුරෙන් වෙන්නැති කුඹුරු පැහුණේ? - Hiru News","පහුගිය කාලේ පොහොර තිබුණේ නැත්නම්, දැන් වතුරෙන් වෙන්නැති කුඹුරු පැහුණේ? - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts",hiru news|hiru tv|hiru tv news|hiru news live|hiru tv news live|hiru news today|හිරු|හිරු ප්‍රවෘත්ති|හිරු නිවුස්|hiru news 11.55|hiru news 6.55|hiru news 9.55|breaking news|latest news|sri lanka news|sinhala news|english news|HiruMedia|News 2024,2026-07-17T16:13:42Z,25,News & Politics,PT56S,hd,false,si,si,https://i.ytimg.com/vi/LJR5XmUzTts/hqdefault.jpg,False
TzA6BZ0UZKs,UCCK3OZi788Ok44K97WAhLKQ,පුවත් කෙටියෙන් 2026.07.16 | Ada Derana,"Ada Derana | ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා

#AdaDerana #News #SriLankaNews #LatestNews #DeranaNews #TVDerana #TrendingNews #ViralNews #SriLanka #SLnews",AdaDerana|News|TvDerana|Sri Lanka|Colombo News|sri lanka news|news today|news derana|news ada derana|ada derana news|news sri lanka|news now|adaderananews|ada derana|latest news|derana news|today news|2026,2026-07-16T18:43:11Z,25,News & Politics,PT2M1S,hd,false,si,si,https://i.ytimg.com/vi/TzA6BZ0UZKs/hqdefault.jpg,False
6Y6CFOJGdj4,UCgnFSj7jQffD5V5m05j4dPw,🔴LIVE : සිරස පත්තරේ | Sirasa Paththare | 17.07.2026,"#SirasaTV #Sirasapaththare #LKA #News1st #SL #Srilanka
🔴LIVE : සිරස පත්තරේ | Sirasa Paththare | 17.07.2026 

Newsfirst.lk is a leading news website in Sri Lanka that provides a wide range of news and information on current events, politics, sports, weather, exams, business, entertainment, and world news. The website is known for its comprehensive coverage of breaking news and top stories from around the country and is a reliable source of up-to-date news and information. In addition to its news coverage, Newsfirst.lk also offers a variety of features and multimedia content, including video reports, podcasts, and photo galleries. Overall, Newsfirst.lk is an excellent resource for staying informed about the latest developments in Sri Lanka and around the world.


👉 Facebook Channel: https://m.me/j/AbaQ5X0ZEJrNW3q2/
👉 Whatsapp Channel එකට එකතු වෙන්න https://news1st.lk/WhatsappChannel
👉 Subscribe us: https://www.youtube.com/NewsFirstSrilanka

👉 JOIN US 
📌 Whatsapp - https://news1st.lk/whatsappg9
📌 Telegram - https://news1st.lk/Telegram  
📌 Viber - https://news1st.lk/viber  

👉 FOLLOW US    
📌Instagram - https://news1st.lk/instagram 
📌Youtube - https://news1st.lk/youtube 
📌Twitter - https://news1st.lk/twitter 
📌Tiktok - https://news1st.lk/tiktok 
📌Facebook - https://news1st.lk/facebook



Web: www.newsfirst.lk
Email: contact@newsfirst.lk
Telephone: +94 114792700

#News1st #SirasaTV #SirasaNews #BreakingNews #NewsLive #NewsfirstDigital #WithThePeople #NewsAtSeven #NewsAtTen  #WeReportYouDecide",breaking news sri lanka|cricket sri lanka|English news|Investigative journalism|Live streaming|sirasa news|sirasa tv|sri lanka|Sri Lanka news|Sri Lanka politics|Sri Lanka sports|TV news|ලංකා නිවුස්|ශ්‍රී ලංකා ප්‍රවෘත්ති|සිංහල නිව්ස්|news1st|Newsfirst Sri Lanka|Breaking News|Sri Lanka News Today|Sri Lanka News Live|Sri Lanka News Sinhala,2026-07-17T02:08:37Z,22,People & Blogs,PT58M56S,hd,false,si,si,https://i.ytimg.com/vi/6Y6CFOJGdj4/hqdefault.jpg,False
tbqSqgxqFSU,UCckltLEhFLv8Xz_lQhYfwmg,දේශපාලනයට කැපවීම ඕනෑ..වැටෙනවා..නැගිටිනවා..ඒ තමයි හැටි - රනිල් කියයි - Hiru News,"දේශපාලනයට කැපවීම ඕනෑ..වැටෙනවා..නැගිටිනවා..ඒ තමයි හැටි - රනිල් කියයි - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts",hiru news|hiru tv|hiru tv news|hiru news live|hiru tv news live|hiru news today|හිරු|හිරු ප්‍රවෘත්ති|හිරු නිවුස්|hiru news 11.55|hiru news 6.55|hiru news 9.55|breaking news|latest news|sri lanka news|sinhala news|english news|HiruMedia|News 2024,2026-07-17T02:55:24Z,25,News & Politics,PT30S,hd,false,si,si,https://i.ytimg.com/vi/tbqSqgxqFSU/hqdefault.jpg,False
ZFehDfRMRT4,UCCK3OZi788Ok44K97WAhLKQ,අද දෙරණ රාත්‍රී 10.00 පුවත් විකාශය - 2026.07.17 | Ada Derana Late Night News Bulletin,"Disclaimer: This video contains visuals taken from external sources solely for news purposes
Ada Derana | ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා

#AdaDerana #News #SriLankaNews #LatestNews #DeranaNews #TVDerana #TrendingNews #ViralNews #SriLanka #SLnews",AdaDerana|News|TvDerana|Sri Lanka|Colombo News|sri lanka news|news today|news derana|news ada derana|ada derana news|news sri lanka|news now|adaderananews|ada derana|latest news|derana news|today news|2026,2026-07-17T17:20:05Z,25,News & Politics,PT43M25S,hd,false,si,si,https://i.ytimg.com/vi/ZFehDfRMRT4/hqdefault.jpg,False
SFMrIUc72_Y,UCAH7R88V7gz7RqJv78nNOzg,ලව් එක ඉවරයි 😯,"Watch the latest teledramas on the Swarnavahini YouTube Channel featuring full episodes of the best Sri Lankan daily drama updates! 🔥

Subscribe now and turn on notifications! 👇
🔗 https://www.youtube.com/channel/UCaIc6SgS90ud_RgMSC6hW_w?sub_confirmation=1

🔹 Watch the Full Playlist: https://www.youtube.com/playlist?list=PLB-GuAsjHIZY3Ip2dSbQclKG2K_IYjdfJ

🌐 FOLLOW US:
🔹 Facebook: https://www.facebook.com/swarnavahini
🔹 Instagram: https://www.instagram.com/swarnavahini.tv
🔹 TikTok: https://www.tiktok.com/@swarnavahinisl
🔹 Website: https://swarnavahini.lk

© 2026 Swarnavahini. All Rights Reserved.

#HiripodaWessa #හිරිපොදවැස්ස #Swarnavahini #SwarnavahiniDrama #SinhalaTeledrama",swarnavahini|swarnavahini tv|swarnavahini live|swarnavahini digital|swarnavahini teledramas|sinhala teledrama|new drama|drama|drama clips|youtube shorts|best sinhala teledramas|new sinhala teledrama|new video|today episode|sri lankan drama|sinhala drama|sri lanka drama|viral video|shorts video|viral shorts|best drama|drama new|shorts|swarnavahini shorts|best scene|sneak peek|hiripoda wassa|hiripoda wessa,2026-07-17T01:00:27Z,24,Entertainment,PT30S,hd,false,si,si,https://i.ytimg.com/vi/SFMrIUc72_Y/hqdefault.jpg,False
_WKfTA2EYTQ,UCgnFSj7jQffD5V5m05j4dPw,"දැඩි නියඟය නිසා කන්තලේ වැව් සිඳෙයි, වනඅලි ජලය සොයා ගම් වදින දසුන්...","දැඩි නියඟය නිසා කන්තලේ වැව් සිඳෙයි, වනඅලි ජලය සොයා ගම් වදින දසුන්...
#LKA #News1st #SL #Srilanka
Newsfirst.lk is a leading news website in Sri Lanka that provides a wide range of news and information on current events, politics, sports, weather, exams, business, entertainment, and world news. The website is known for its comprehensive coverage of breaking news and top stories from around the country and is a reliable source of up-to-date news and information. In addition to its news coverage, Newsfirst.lk also offers a variety of features and multimedia content, including video reports, podcasts, and photo galleries. Overall, Newsfirst.lk is an excellent resource for staying informed about the latest developments in Sri Lanka and around the world.


👉 Facebook Channel: https://m.me/j/AbaQ5X0ZEJrNW3q2/
👉 Whatsapp Channel එකට එකතු වෙන්න https://news1st.lk/WhatsappChannel
👉 Subscribe us: https://www.youtube.com/NewsFirstSrilanka

👉 JOIN US 
📌 Whatsapp - https://news1st.lk/whatsappg9
📌 Telegram - https://news1st.lk/Telegram  
📌 Viber - https://news1st.lk/viber  

👉 FOLLOW US    
📌Instagram - https://news1st.lk/instagram 
📌Youtube - https://news1st.lk/youtube 
📌Twitter - https://news1st.lk/twitter 
📌Tiktok - https://news1st.lk/tiktok 
📌Facebook - https://news1st.lk/facebook



Web: www.newsfirst.lk
Email: contact@newsfirst.lk
Telephone: +94 114792700

#News1st #SirasaTV #SirasaNews #BreakingNews #NewsLive #NewsfirstDigital #WithThePeople #NewsAtSeven #NewsAtTen  #WeReportYouDecide",breaking news sri lanka|cricket sri lanka|English news|Investigative journalism|Live streaming|sirasa news|sirasa tv|sri lanka|Sri Lanka news|Sri Lanka politics|Sri Lanka sports|TV news|ලංකා නිවුස්|ශ්‍රී ලංකා ප්‍රවෘත්ති|සිංහල නිව්ස්|news1st|Newsfirst Sri Lanka|Breaking News|Sri Lanka News Today|Sri Lanka News Live|Sri Lanka News Sinhala,2026-07-17T11:00:41Z,22,People & Blogs,PT32S,hd,false,si,si,https://i.ytimg.com/vi/_WKfTA2EYTQ/hqdefault.jpg,False
18iEkMVT3nE,UCckltLEhFLv8Xz_lQhYfwmg,"මේ වසරේ මාස හයට මෝටර් රථ 66,344ක් ලියාපදිංචි කරලා - Hiru News","මේ වසරේ මාස හයට මෝටර් රථ 66,344ක් ලියාපදිංචි කරලා
මෝටර් රථ ප්‍රවාහන දෙපාර්තමේන්තුව - Hiru News

#HiruMedia #HiruSinhalaNews #HiruEnglishNews #LKA #Srilanka #TruthAtAllCosts",hiru news|hiru tv|hiru tv news|hiru news live|hiru tv news live|hiru news today|හිරු|හිරු ප්‍රවෘත්ති|හිරු නිවුස්|hiru news 11.55|hiru news 6.55|hiru news 9.55|breaking news|latest news|sri lanka news|sinhala news|english news|HiruMedia|News 2024,2026-07-17T03:51:35Z,25,News & Politics,PT17S,hd,false,si,si,https://i.ytimg.com/vi/18iEkMVT3nE/hqdefault.jpg,False
5r1ZDTG_OGo,UCQTcNhAZidy1i9wwmdgf2Lw,මං ඇවිල්ලා කරේ වැරැද්දක්ද? | සිහිනෙක තනිවෙලා 💕,"සිහිනෙක තනිවෙලා 💕
සතියේ දිනවල රාත්‍රී 08.30 සිට
#ITN #ITNSriLanka #ITNDigital #SihinekaThaniwela #Teledrama 


Watch ITN Programmes & More Updates at https://www.itn.lk

ITN ON SOCIAL
Follow on Facebook : https://www.facebook.com/ITNSriLanka
Subscribe on YouTube : http://bit.ly/SubscribeITNSriLanka
Follow on Instagram : https://www.instagram.com/itn.srilanka
Follow on X : https://www.x.com/ITNSriLanka

© 2026 by Independent Television Network Ltd.
All rights reserved. No part of this video may be reproduced or transmitted in any form or by any means, electronic, mechanical, recording, or otherwise, without prior written permission of Independent Television Network Ltd.",itn|sri|lanka|programmes|sinhala|tv|lankan|independent|television|network|Sihineka Thaniwela|Srilanka Teledrama|itn drama|new teledrama|itn 8.30|sinhala drama|sri lanka drama|8.30 new drama|Abhilashi Shanthushki|Himen Melaka|Geethma Bandara|Dinusha Dissanayaka|Tanasha Hatharasinghe|Himali Siriwardhana|Thimira Udalamaththa,2026-07-17T15:30:19Z,24,Entertainment,PT1M30S,hd,false,si,si,https://i.ytimg.com/vi/5r1ZDTG_OGo/hqdefault.jpg,False
ZMgKuehXDhE,UCAH7R88V7gz7RqJv78nNOzg,දුවගෙන් ගෙදරට කෝල් එකක් 😯,"ස්වර්ණවාහිනී සියළුම වැඩසටහන් නරඹන්න Swarnavahini Digital Youtube නාළිකාව දැන්ම Subscribe කරන්න 
👉 https://www.youtube.com/channel/UCAH7R88V7gz7RqJv78nNOzg?sub_confirmation=1

FOLLOW US ON:
🔹Facebook: https://www.facebook.com/swarnavahini  
🔹Instagram: https://www.instagram.com/swarnavahini.tv
🔹TikTok: https://www.tiktok.com/@swarnavahinisl
🔹Website: https://swarnavahini.lk

#Swarnavahini",swarnavahini|swarnavahini tv|swarnavahini live|swarnavahini digital,2026-07-17T01:30:24Z,24,Entertainment,PT22S,hd,false,si,si,https://i.ytimg.com/vi/ZMgKuehXDhE/hqdefault.jpg,False
