feature,horizon,spearman_log_target
duration_seconds,day_7,0.023432088275053095
is_short,day_7,0.02049767177046801
caption,day_7,-0.023432713846811695
made_for_kids,day_7,-0.040185195900383386
publish_hour_slt,day_7,0.07840428399710232
publish_dow_slt,day_7,0.004250743721951904
publish_is_weekend,day_7,0.004633211568721608
description_length,day_7,0.08551689153205913
tag_count,day_7,0.10760653206558707
ch_subs_at_publish,day_7,0.3666738608573684
ch_videos_at_publish,day_7,0.15495416184290728
channel_age_days_at_publish,day_7,0.12097153850068977
topic_entertainment,day_7,0.22790333994372652
topic_fashion,day_7,-0.08529298797045082
topic_food,day_7,0.008841394492099072
topic_gaming,day_7,-0.08269731860327677
topic_health,day_7,-0.04340939261725858
topic_hobby,day_7,-0.07711036453918682
topic_humour,day_7,0.04585255506417205
topic_knowledge,day_7,-0.1421555798266377
topic_lifestyle,day_7,-0.023976189455739674
topic_music,day_7,0.0296420674807263
topic_pet,day_7,0.006611811534203876
topic_politics,day_7,-0.04220618491249878
topic_religion,day_7,-0.08441913319587924
topic_society,day_7,0.11674096271059821
topic_sports,day_7,0.02324170644902846
topic_technology,day_7,-0.07143940497632045
topic_tourism,day_7,-0.08904667302093337
topic_vehicle,day_7,-0.008695397396228008
topic_missing,day_7,-0.018754451689941852
duration_seconds,day_14,0.04784479445760805
is_short,day_14,-0.006083699094357398
caption,day_14,-0.0208189729424621
made_for_kids,day_14,-0.03166105274578461
publish_hour_slt,day_14,0.0851789280049007
publish_dow_slt,day_14,0.027830434125899858
publish_is_weekend,day_14,0.03178292153430578
description_length,day_14,0.07922179504331235
tag_count,day_14,0.11383874205271953
ch_subs_at_publish,day_14,0.3746008124204006
ch_videos_at_publish,day_14,0.15461468594801822
channel_age_days_at_publish,day_14,0.12388040007021417
topic_entertainment,day_14,0.23590492135714167
topic_fashion,day_14,-0.08622006283149627
topic_food,day_14,0.011882467695298767
topic_gaming,day_14,-0.1056297858211538
topic_health,day_14,-0.037156906900000154
topic_hobby,day_14,-0.09480497192818844
topic_humour,day_14,0.04199183055673682
topic_knowledge,day_14,-0.12194860131154546
topic_lifestyle,day_14,-0.015846250518065916
topic_music,day_14,0.05283893014954842
topic_pet,day_14,0.011524736038456817
topic_politics,day_14,-0.04883510955247359
topic_religion,day_14,-0.07102442857432414
topic_society,day_14,0.08263974922530094
topic_sports,day_14,0.02388641382644759
topic_technology,day_14,-0.05853860121210472
topic_tourism,day_14,-0.09930493845331106
topic_vehicle,day_14,0.005671373200432171
topic_missing,day_14,0.00027221437639164214
duration_seconds,day_21,0.005050623054038143
is_short,day_21,0.034845177858616565
caption,day_21,-0.011197737745404725
made_for_kids,day_21,-0.018741398606208413
publish_hour_slt,day_21,0.07918166668869571
publish_dow_slt,day_21,0.011183995755570213
publish_is_weekend,day_21,0.03466157044302153
description_length,day_21,0.09905686660045615
tag_count,day_21,0.0784359816496602
ch_subs_at_publish,day_21,0.42757823636615205
ch_videos_at_publish,day_21,0.17529097490871437
channel_age_days_at_publish,day_21,0.15440097865171318
topic_entertainment,day_21,0.24038653658820863
topic_fashion,day_21,-0.07238741104482019
topic_food,day_21,0.0087019047958928
topic_gaming,day_21,-0.11243410636244416
topic_health,day_21,-0.03231565715766374
topic_hobby,day_21,-0.08564956381415605
topic_humour,day_21,0.03674699141575797
topic_knowledge,day_21,-0.10845173930577658
topic_lifestyle,day_21,-0.016578123668032532
topic_music,day_21,0.0023609380572819027
topic_pet,day_21,-0.01089827465099103
topic_politics,day_21,-0.026770622960278614
topic_religion,day_21,-0.07458504928069627
topic_society,day_21,0.11758982180213363
topic_sports,day_21,0.03267253545016726
topic_technology,day_21,-0.05233481131515574
topic_tourism,day_21,-0.08975778052120323
topic_vehicle,day_21,0.012692102516122817
topic_missing,day_21,-0.0008147161737432801
duration_seconds,day_30,0.03611356757974912
is_short,day_30,0.002705017518537002
caption,day_30,-0.013657736541910494
made_for_kids,day_30,-0.025526011105967777
publish_hour_slt,day_30,0.10234178976678895
publish_dow_slt,day_30,-0.004836952263658341
publish_is_weekend,day_30,-0.005428344946786767
description_length,day_30,0.06358635683252233
tag_count,day_30,0.11178202117409142
ch_subs_at_publish,day_30,0.44191372487392216
ch_videos_at_publish,day_30,0.19771823663150742
channel_age_days_at_publish,day_30,0.16385087304862517
topic_entertainment,day_30,0.22434080112011284
topic_fashion,day_30,-0.10407507609662513
topic_food,day_30,-0.011353135230920157
topic_gaming,day_30,-0.07006094430007728
topic_health,day_30,-0.024084604204992987
topic_hobby,day_30,-0.10932973943562328
topic_humour,day_30,0.039537087725006234
topic_knowledge,day_30,-0.14346625047596603
topic_lifestyle,day_30,-0.0472227030469888
topic_music,day_30,-0.026461646526611083
topic_pet,day_30,-0.021115878875765253
topic_politics,day_30,-0.007052800213985071
topic_religion,day_30,-0.05720298267429399
topic_society,day_30,0.1052191889279088
topic_sports,day_30,0.01805604095997529
topic_technology,day_30,-0.07311737854292374
topic_tourism,day_30,-0.08389004074768149
topic_vehicle,day_30,0.00044505264270541014
topic_missing,day_30,0.002919700114537377
