profile,horizon_days,fold,training_rows,validation_rows,features,best_iteration,rmsle,log_r2,wape_pct,total_view_capture_pct,median_absolute_error_views
current_v4,7,1,22892,5724,103,104,1.804482260501041,0.2589123330690728,92.04645325110722,20.961211933775342,614.8636406481795
current_v4,7,2,22893,5723,100,186,1.7420031888996363,0.48703762370576,86.66239342351845,24.4974410510411,1370.2140119326368
current_v4,7,3,22893,5723,100,72,1.9595580851006995,0.4951921461350416,89.85401484789935,14.871105602934545,927.3467603150248
current_v4,7,4,22893,5723,98,151,1.684649495846401,0.5780449305493925,89.95113759235193,32.21201576483912,1371.9391379306185
current_v4,7,5,22893,5723,95,170,1.8468581677385734,0.4691947234793308,86.19943258883353,29.027811598175507,598.5542229915891
current_v4,14,1,22892,5724,103,100,1.7851463577935558,0.27142352183414886,91.75918983088079,25.614502339196644,751.9502441085823
current_v4,14,2,22893,5723,100,132,1.7563025754227548,0.4746451072952883,87.27885864773454,24.14603371533862,1439.3789064813436
current_v4,14,3,22893,5723,100,111,1.9045979343934352,0.5149848118991702,87.74105170982416,18.122508570844996,933.1333187228674
current_v4,14,4,22893,5723,98,111,1.6826993497829368,0.5698689405805768,90.8217885406649,29.73925837405986,1447.3599176485613
current_v4,14,5,22893,5723,95,156,1.8406374538034116,0.46469806879371156,86.95330037763385,28.38642310909545,628.0974662628405
current_v4,21,1,22892,5724,103,101,1.8061592990339854,0.25266780798278166,91.59346965448655,24.203948538465355,831.7414493772848
current_v4,21,2,22893,5723,100,113,1.7543823635899978,0.4724556376891347,88.04957746583798,21.978277153379143,1504.405450110477
current_v4,21,3,22893,5723,100,79,1.8583279717928924,0.5335771956885944,89.26285093199068,16.39568874606372,992.9257431278108
current_v4,21,4,22893,5723,98,226,1.657663473566055,0.5779537510377052,90.99130883457322,29.619709166466855,1405.822331313716
current_v4,21,5,22893,5723,95,216,1.8440820414905605,0.4572570518673601,87.7973671779307,28.421114654837925,661.8453713013181
current_v4,30,1,22892,5724,103,121,1.782550440404141,0.2696919719817238,90.72213499926043,24.92322492200162,803.3439632172384
current_v4,30,2,22893,5723,100,134,1.754331194808113,0.46854643797167983,87.89456499988889,24.009622308282008,1504.347405028844
current_v4,30,3,22893,5723,100,133,1.844020226037684,0.5357876783276976,87.05538043849306,19.3654619850326,1013.0516699779416
current_v4,30,4,22893,5723,98,157,1.6631451143203886,0.5701877419826029,90.88202675035174,30.258001570903076,1444.7123357466896
current_v4,30,5,22893,5723,95,213,1.8338964916995453,0.4614427772015667,88.01566986113389,27.69837973146884,689.1637786135127
compact_v4,7,1,22892,5724,76,107,1.809227681131037,0.2550093887418786,92.10921909769648,22.28683599375104,688.0641760031701
compact_v4,7,2,22893,5723,76,119,1.7443901839536298,0.4856308782281664,86.80045382471346,25.216556459830475,1308.9647663532828
compact_v4,7,3,22893,5723,76,82,1.96839376619378,0.490629508184648,88.86664531380157,17.015998192009523,1021.0272699709328
compact_v4,7,4,22893,5723,76,151,1.6920135428380971,0.5743479141973049,90.30701164535654,30.551976866347808,1413.7233072248691
compact_v4,7,5,22893,5723,76,206,1.844237668604376,0.47069996948875814,87.42134472870401,27.29685169191225,584.5479281623886
compact_v4,14,1,22892,5724,76,151,1.7872690723736049,0.26968979349076216,91.47413583723333,24.820316762045593,758.5839693975531
compact_v4,14,2,22893,5723,76,116,1.7481941093037048,0.4794848075518091,87.01136371989092,22.370795561289633,1383.6462928400779
compact_v4,14,3,22893,5723,76,114,1.8733773530066513,0.5307554337969538,87.94287287080148,17.962077725863796,936.0131462924079
compact_v4,14,4,22893,5723,76,132,1.6827641763169419,0.5698357980671838,90.95621547974166,29.645373885171324,1450.3426402660584
compact_v4,14,5,22893,5723,76,233,1.8439725734320314,0.4627564442804383,87.60097529390376,28.59001230656023,652.5159028935688
compact_v4,21,1,22892,5724,76,104,1.7877317560008055,0.26783949690090736,91.20748123760917,25.845756914209044,724.5927058967386
