profile,horizon_days,feature
current_v4,7,duration_seconds
current_v4,7,ch_subs_at_publish
current_v4,7,ch_avg_views_per_video_at_publish
current_v4,7,ch_videos_at_publish
current_v4,7,channel_age_days_at_publish
current_v4,7,publish_hour_sin
current_v4,7,publish_hour_cos
current_v4,7,publish_dow_sin
current_v4,7,publish_dow_cos
current_v4,7,title_length
current_v4,7,title_word_count
current_v4,7,title_upper_ratio
current_v4,7,tag_count
current_v4,7,description_length
current_v4,7,prior_channel_video_count
current_v4,7,uploads_previous_7d
current_v4,7,uploads_previous_30d
current_v4,7,days_since_previous_upload
current_v4,7,prior_d7_view_count
current_v4,7,prior_d7_median_views
current_v4,7,prior_d7_mean_log_views
current_v4,7,prior_d7_std_log_views
current_v4,7,prior_d7_last_views
current_v4,7,prior_d7_recent5_median_views
current_v4,7,prior_same_category_d7_count
current_v4,7,prior_same_category_d7_median_views
current_v4,7,prior_d30_view_count
current_v4,7,prior_d30_median_views
current_v4,7,prior_d30_mean_log_views
current_v4,7,ch_videos_per_day
current_v4,7,is_short
current_v4,7,publish_is_weekend
current_v4,7,title_has_number
current_v4,7,title_has_question
current_v4,7,title_has_exclaim
current_v4,7,topic_entertainment
current_v4,7,topic_fashion
current_v4,7,topic_food
current_v4,7,topic_gaming
current_v4,7,topic_health
current_v4,7,topic_hobby
current_v4,7,topic_humour
current_v4,7,topic_knowledge
current_v4,7,topic_lifestyle
current_v4,7,topic_music
current_v4,7,topic_pet
current_v4,7,topic_politics
current_v4,7,topic_religion
current_v4,7,topic_society
current_v4,7,topic_sports
current_v4,7,topic_technology
current_v4,7,topic_tourism
current_v4,7,topic_vehicle
current_v4,7,topic_missing
current_v4,7,category_encoded_log
current_v4,7,default_language___MISSING__
current_v4,7,default_language_ab
current_v4,7,default_language_ar
current_v4,7,default_language_az
current_v4,7,default_language_bn
current_v4,7,default_language_de
current_v4,7,default_language_en
current_v4,7,default_language_en-AU
current_v4,7,default_language_en-GB
current_v4,7,default_language_en-IN
current_v4,7,default_language_en-US
current_v4,7,default_language_fr
current_v4,7,default_language_gd
current_v4,7,default_language_hi
current_v4,7,default_language_hr
current_v4,7,default_language_id
current_v4,7,default_language_it
current_v4,7,default_language_ja
current_v4,7,default_language_jv
current_v4,7,default_language_ko
current_v4,7,default_language_lt
current_v4,7,default_language_oc
current_v4,7,default_language_ro
current_v4,7,default_language_ru
current_v4,7,default_language_si
current_v4,7,default_language_sk
