horizon,feature,kind,value,count,percent,rank
day_7,category_name,categorical,News & Politics,7439,36.00154866185936,1
day_7,category_name,categorical,Entertainment,2963,14.339640904031361,2
day_7,category_name,categorical,Education,2386,11.547209988868993,3
day_7,category_name,categorical,People & Blogs,1332,6.446304989594928,4
day_7,category_name,categorical,Music,1321,6.393069738179355,5
day_7,category_name,categorical,Travel & Events,1232,5.962348158544258,6
day_7,category_name,categorical,Gaming,854,4.132991337172724,7
day_7,category_name,categorical,Howto & Style,505,2.443981996805885,8
day_7,category_name,categorical,Sports,465,2.2503992643856168,9
day_7,category_name,categorical,Autos & Vehicles,444,2.1487683298649762,10
day_7,category_name,categorical,Film & Animation,415,2.0084208488602817,11
day_7,category_name,categorical,Comedy,414,2.003581280549775,12
day_7,category_name,categorical,Pets & Animals,378,1.8293568213715337,13
day_7,category_name,categorical,Science & Technology,343,1.659971930503799,14
day_7,category_name,categorical,<MISSING>,172,0.8324057494071528,15
day_7,is_short,boolean,False,13109,63.441900982432365,1
day_7,is_short,boolean,True,7554,36.558099017567635,2
day_7,definition,categorical,hd,19911,96.36064463049895,1
day_7,definition,categorical,sd,752,3.6393553695010405,2
day_7,caption,boolean,False,20623,99.80641726757973,1
day_7,caption,boolean,True,40,0.1935827324202681,2
day_7,made_for_kids,boolean,False,20603,99.70962590136959,1
day_7,made_for_kids,boolean,True,60,0.29037409863040214,2
day_7,default_language,categorical,si,14016,67.83138944006194,1
day_7,default_language,categorical,en,4923,23.825194792624497,2
day_7,default_language,categorical,en-US,778,3.765184145574215,3
day_7,default_language,categorical,ta,452,2.1874848763490298,4
day_7,default_language,categorical,en-GB,415,2.0084208488602817,5
day_7,default_language,categorical,ja,12,0.05807481972608043,6
day_7,default_language,categorical,ar,10,0.048395683105067026,7
day_7,default_language,categorical,hi,8,0.03871654648405362,8
day_7,default_language,categorical,en-AU,7,0.03387697817354692,9
day_7,default_language,categorical,tr,6,0.029037409863040216,10
day_7,default_language,categorical,en-IN,6,0.029037409863040216,11
day_7,default_language,categorical,ro,5,0.024197841552533513,12
day_7,default_language,categorical,sk,3,0.014518704931520108,13
day_7,default_language,categorical,<MISSING>,2,0.009679136621013405,14
day_7,default_language,categorical,th,2,0.009679136621013405,15
day_7,default_language,categorical,ko,2,0.009679136621013405,16
day_7,default_language,categorical,de,2,0.009679136621013405,17
day_7,default_language,categorical,bn,2,0.009679136621013405,18
day_7,default_language,categorical,ab,2,0.009679136621013405,19
day_7,default_language,categorical,lt,2,0.009679136621013405,20
day_7,default_language,categorical,az,1,0.004839568310506703,21
day_7,default_language,categorical,hr,1,0.004839568310506703,22
day_7,default_language,categorical,id,1,0.004839568310506703,23
day_7,default_language,categorical,it,1,0.004839568310506703,24
day_7,default_language,categorical,fr,1,0.004839568310506703,25
day_7,default_language,categorical,ru,1,0.004839568310506703,26
day_7,default_language,categorical,pt-PT,1,0.004839568310506703,27
day_7,default_language,categorical,en-CA,1,0.004839568310506703,28
day_7,publish_hour_slt,numeric_discrete,18,1453,7.031892755166239,1
day_7,publish_hour_slt,numeric_discrete,19,1423,6.886705705851038,2
day_7,publish_hour_slt,numeric_discrete,16,1258,6.088176934617432,3
day_7,publish_hour_slt,numeric_discrete,15,1258,6.088176934617432,4
day_7,publish_hour_slt,numeric_discrete,17,1244,6.0204229782703385,5
day_7,publish_hour_slt,numeric_discrete,20,1232,5.962348158544258,6
day_7,publish_hour_slt,numeric_discrete,12,1199,5.802642404297536,7
day_7,publish_hour_slt,numeric_discrete,14,1144,5.536466147219668,8
day_7,publish_hour_slt,numeric_discrete,10,1108,5.3622416880414265,9
day_7,publish_hour_slt,numeric_discrete,11,1083,5.241252480278759,10
day_7,publish_hour_slt,numeric_discrete,13,1071,5.183177660552679,11
day_7,publish_hour_slt,numeric_discrete,21,1061,5.134781977447612,12
day_7,publish_hour_slt,numeric_discrete,9,978,4.733097807675556,13
day_7,publish_hour_slt,numeric_discrete,8,957,4.631466873154914,14
day_7,publish_hour_slt,numeric_discrete,22,854,4.132991337172724,15
day_7,publish_hour_slt,numeric_discrete,7,828,4.00716256109955,16
day_7,publish_hour_slt,numeric_discrete,23,611,2.9569762377195956,17
day_7,publish_hour_slt,numeric_discrete,6,580,2.8069496200938877,18
day_7,publish_hour_slt,numeric_discrete,0,438,2.1197309200019356,19
day_7,publish_hour_slt,numeric_discrete,1,319,1.5438222910516382,20
day_7,publish_hour_slt,numeric_discrete,5,250,1.2098920776266757,21
day_7,publish_hour_slt,numeric_discrete,2,136,0.6581812902289116,22
day_7,publish_hour_slt,numeric_discrete,4,91,0.44040071625610994,23
day_7,publish_hour_slt,numeric_discrete,3,87,0.42104244301408317,24
day_7,publish_dow_slt,numeric_discrete,0,3982,19.27116101243769,1
day_7,publish_dow_slt,numeric_discrete,4,3291,15.92701930987756,2
day_7,publish_dow_slt,numeric_discrete,1,3044,14.731645937182403,3
day_7,publish_dow_slt,numeric_discrete,6,2896,14.015389827227411,4
day_7,publish_dow_slt,numeric_discrete,5,2635,12.752262498185162,5
day_7,publish_dow_slt,numeric_discrete,3,2463,11.91985674877801,6
day_7,publish_dow_slt,numeric_discrete,2,2352,11.382664666311765,7
day_7,publish_is_weekend,boolean,False,15132,73.23234767458743,1
day_7,publish_is_weekend,boolean,True,5531,26.767652325412573,2
day_7,publish_time_bucket,categorical,morning_afternoon,8948,43.304457242413974,1
day_7,publish_time_bucket,categorical,evening,7868,38.07772346706674,2
day_7,publish_time_bucket,categorical,late_night,2526,12.224749552339931,3
day_7,publish_time_bucket,categorical,early_morning,1321,6.393069738179355,4
day_7,topic_entertainment,boolean,False,16419,79.46087209020955,1
day_7,topic_entertainment,boolean,True,4244,20.539127909790448,2
day_7,topic_fashion,boolean,False,20479,99.10951943086677,1
day_7,topic_fashion,boolean,True,184,0.8904805691332334,2
day_7,topic_food,boolean,False,20220,97.85607123844554,1
day_7,topic_food,boolean,True,443,2.1439287615544695,2
day_7,topic_gaming,boolean,False,19701,95.34433528529256,1
day_7,topic_gaming,boolean,True,962,4.655664714707448,2
day_7,topic_health,boolean,False,20481,99.11919856748779,1
day_7,topic_health,boolean,True,182,0.8808014325122199,2
day_7,topic_hobby,boolean,False,20197,97.74476116730388,1
day_7,topic_hobby,boolean,True,466,2.2552388326961235,2
day_7,topic_humour,boolean,False,20508,99.24986691187146,1
day_7,topic_humour,boolean,True,155,0.750133088128539,2
day_7,topic_knowledge,boolean,False,19479,94.26995112036006,1
day_7,topic_knowledge,boolean,True,1184,5.730048879639936,2
day_7,topic_lifestyle,boolean,False,18615,90.08856410008227,1
day_7,topic_lifestyle,boolean,True,2048,9.911435899917727,2
day_7,topic_music,boolean,False,18810,91.03227992063108,1
day_7,topic_music,boolean,True,1853,8.96772007936892,2
day_7,topic_pet,boolean,False,20498,99.2014712287664,1
day_7,topic_pet,boolean,True,165,0.798528771233606,2
day_7,topic_politics,boolean,False,12666,61.297972220877895,1
day_7,topic_politics,boolean,True,7997,38.702027779122105,2
day_7,topic_religion,boolean,False,19761,95.63470938392295,1
day_7,topic_religion,boolean,True,902,4.365290616077046,2
day_7,topic_society,boolean,False,19403,93.90214392876156,1
day_7,topic_society,boolean,True,1260,6.0978560712384455,2
day_7,topic_sports,boolean,False,20122,97.38179354401588,1
day_7,topic_sports,boolean,True,541,2.6182064559841263,2
day_7,topic_technology,boolean,False,20267,98.08353094903934,1
day_7,topic_technology,boolean,True,396,1.9164690509606543,2
day_7,topic_tourism,boolean,False,19857,96.0993079417316,1
day_7,topic_tourism,boolean,True,806,3.9006920582684024,2
day_7,topic_vehicle,boolean,False,20049,97.02850505734888,1
day_7,topic_vehicle,boolean,True,614,2.9714949426511157,2
day_7,topic_missing,boolean,False,20578,99.58863669360693,1
day_7,topic_missing,boolean,True,85,0.4113633063930697,2
day_14,category_name,categorical,News & Politics,5038,32.119859738603765,1
day_14,category_name,categorical,Entertainment,2000,12.75103602167676,2
day_14,category_name,categorical,Education,1919,12.234619062798853,3
day_14,category_name,categorical,Music,1195,7.618744022951865,4
day_14,category_name,categorical,Travel & Events,1060,6.758049091488683,5
day_14,category_name,categorical,People & Blogs,919,5.859101051960471,6
day_14,category_name,categorical,Gaming,840,5.35543512910424,7
day_14,category_name,categorical,Howto & Style,434,2.7669748167038573,8
day_14,category_name,categorical,Sports,400,2.550207204335352,9
day_14,category_name,categorical,Autos & Vehicles,374,2.384443736053554,10
day_14,category_name,categorical,Comedy,370,2.358941664010201,11
day_14,category_name,categorical,Film & Animation,362,2.307937519923494,12
day_14,category_name,categorical,Pets & Animals,356,2.2696844118584636,13
day_14,category_name,categorical,Science & Technology,306,1.9509085113165445,14
day_14,category_name,categorical,<MISSING>,112,0.7140580172138986,15
day_14,is_short,boolean,False,9700,61.84252470513229,1
day_14,is_short,boolean,True,5985,38.15747529486771,2
day_14,definition,categorical,hd,15155,96.62097545425566,1
day_14,definition,categorical,sd,530,3.3790245457443415,2
day_14,caption,boolean,False,15653,99.79598342365317,1
day_14,caption,boolean,True,32,0.20401657634682818,2
day_14,made_for_kids,boolean,False,15637,99.69397513547976,1
day_14,made_for_kids,boolean,True,48,0.30602486452024225,2
day_14,default_language,categorical,si,10030,63.94644564870896,1
day_14,default_language,categorical,en,4267,27.20433535224737,2
