horizon,topic_feature,topic_label,true_rows,true_percent
day_7,topic_entertainment,Entertainment,4190,20.48398924468345
day_7,topic_fashion,Fashion,183,0.8946467856269861
day_7,topic_food,Food,425,2.077731605964312
day_7,topic_gaming,Gaming,949,4.639452456612076
day_7,topic_health,Health,173,0.8457589831337081
day_7,topic_hobby,Hobby,455,2.2243950134441457
day_7,topic_humour,Humour,154,0.75287215839648
day_7,topic_knowledge,Knowledge,1154,5.641652407724273
day_7,topic_lifestyle,Lifestyle,2022,9.885113664140796
day_7,topic_music,Music,1827,8.931801515521878
day_7,topic_pet,Pet,165,0.8066487411390858
day_7,topic_politics,Politics,7969,38.95868980689318
day_7,topic_religion,Religion,891,4.3559032021510635
day_7,topic_society,Society,1242,6.071865069665119
day_7,topic_sports,Sports,536,2.620386213639697
day_7,topic_technology,Technology,392,1.9164018577364947
day_7,topic_tourism,Tourism,790,3.8621363969689564
day_7,topic_vehicle,Vehicle,607,2.96748961134197
day_7,topic_missing,<MISSING>,82,0.400879980444879
day_14,topic_entertainment,Entertainment,3181,20.392332841848837
day_14,topic_fashion,Fashion,180,1.153920123084813
day_14,topic_food,Food,385,2.468106929931406
day_14,topic_gaming,Gaming,936,6.000384640041029
day_14,topic_health,Health,140,0.8974934290659657
day_14,topic_hobby,Hobby,376,2.410410923777165
day_14,topic_humour,Humour,126,0.8077440861593692
day_14,topic_knowledge,Knowledge,999,6.404256683120713
day_14,topic_lifestyle,Lifestyle,1705,10.930187832553369
day_14,topic_music,Music,1634,10.475030450669914
day_14,topic_pet,Pet,165,1.0577601128277454
day_14,topic_politics,Politics,5401,34.624014359894865
day_14,topic_religion,Religion,750,4.808000512853388
day_14,topic_society,Society,819,5.250336560035899
day_14,topic_sports,Sports,404,2.589909609590358
day_14,topic_technology,Technology,396,2.5386242707865887
day_14,topic_tourism,Tourism,694,4.449003141227002
day_14,topic_vehicle,Vehicle,501,3.211744342586063
day_14,topic_missing,<MISSING>,43,0.2756586960702609
day_21,topic_entertainment,Entertainment,3148,20.9058307876212
day_21,topic_fashion,Fashion,194,1.288351706733962
day_21,topic_food,Food,381,2.5302164962146367
day_21,topic_gaming,Gaming,942,6.255810864656661
day_21,topic_health,Health,134,0.8898924159914995
day_21,topic_hobby,Hobby,442,2.9353167751361404
day_21,topic_humour,Humour,114,0.7570726524106787
day_21,topic_knowledge,Knowledge,1026,6.813653871696109
day_21,topic_lifestyle,Lifestyle,1678,11.143578164430867
day_21,topic_music,Music,1931,12.823748173728251
day_21,topic_pet,Pet,186,1.2352238013016337
day_21,topic_politics,Politics,4410,29.28675786957099
day_21,topic_religion,Religion,774,5.140124850577766
day_21,topic_society,Society,1006,6.680834108115287
day_21,topic_sports,Sports,386,2.563421437109842
day_21,topic_technology,Technology,400,2.6563952716164163
day_21,topic_tourism,Tourism,712,4.728383583477221
day_21,topic_vehicle,Vehicle,549,3.645902510293532
day_21,topic_missing,<MISSING>,54,0.3586133616682162
day_30,topic_entertainment,Entertainment,3090,20.9619428804016
day_30,topic_fashion,Fashion,181,1.2278678515704498
day_30,topic_food,Food,401,2.7203039142527645
day_30,topic_gaming,Gaming,869,5.895122447595143
day_30,topic_health,Health,125,0.8479750356149515
day_30,topic_hobby,Hobby,459,3.113764330778102
day_30,topic_humour,Humour,117,0.7937046333355946
day_30,topic_knowledge,Knowledge,1080,7.326504307713181
day_30,topic_lifestyle,Lifestyle,1637,11.105081066413405
day_30,topic_music,Music,1597,10.83372905501662
day_30,topic_pet,Pet,166,1.1261108472966557
day_30,topic_politics,Politics,4353,29.52988264025507
day_30,topic_religion,Religion,743,5.0403636116952715
day_30,topic_society,Society,1153,7.821721728512313
day_30,topic_sports,Sports,366,2.482870904280578
day_30,topic_technology,Technology,440,2.984872125364629
day_30,topic_tourism,Tourism,661,4.484091988331864
day_30,topic_vehicle,Vehicle,515,3.4936571467336
day_30,topic_missing,<MISSING>,53,0.35954141510073945
