topic_combination,day_7,day_14,day_21,day_30,individual_topic_count,horizons_present,total_rows_across_horizons
<MISSING>,85,44,55,53,0,4,237
Entertainment,3027,2134,1984,1954,1,4,9099
Entertainment|Food,1,0,0,0,2,1,1
Entertainment|Gaming,23,24,16,12,2,4,75
Entertainment|Gaming|Hobby,29,15,7,5,3,4,56
Entertainment|Gaming|Lifestyle,7,6,6,4,3,4,23
Entertainment|Health,8,5,9,4,2,4,26
Entertainment|Health|Pet,1,2,2,3,3,4,8
Entertainment|Hobby,28,30,37,28,2,4,123
Entertainment|Hobby|Music,0,1,1,1,3,3,3
Entertainment|Hobby|Vehicle,4,3,4,5,3,4,16
Entertainment|Knowledge,22,13,16,10,2,4,61
Entertainment|Knowledge|Lifestyle,14,11,10,15,3,4,50
Entertainment|Knowledge|Politics,9,16,16,15,3,4,56
Entertainment|Knowledge|Society,2,0,1,1,3,3,4
Entertainment|Lifestyle,213,165,161,183,2,4,722
Entertainment|Lifestyle|Music,180,151,163,159,3,4,653
Entertainment|Lifestyle|Music|Society,0,1,2,1,4,3,4
Entertainment|Lifestyle|Religion,46,52,50,48,3,4,196
Entertainment|Lifestyle|Society|Sports,1,1,1,0,4,3,3
Entertainment|Lifestyle|Sports,3,0,3,1,3,3,7
Entertainment|Music,318,325,331,223,2,4,1197
Entertainment|Music|Pet,2,7,0,0,3,2,9
Entertainment|Music|Society,4,1,0,0,3,2,5
Entertainment|Music|Vehicle,12,5,17,10,3,4,44
Entertainment|Pet,72,67,56,46,2,4,241
Entertainment|Politics,30,25,28,30,2,4,113
Entertainment|Politics|Sports,0,3,1,2,3,3,6
Entertainment|Religion,15,15,12,9,2,4,51
Entertainment|Society,144,110,211,309,2,4,774
Entertainment|Society|Sports,5,3,0,0,3,2,8
Entertainment|Sports,2,0,0,1,2,2,3
Entertainment|Technology,3,3,3,4,2,4,13
Entertainment|Tourism,7,3,2,2,2,4,14
Entertainment|Vehicle,12,13,10,8,2,4,43
Fashion,64,70,81,92,1,4,307
Fashion|Food,3,3,4,1,2,4,11
Fashion|Hobby,112,105,108,86,2,4,411
Fashion|Tourism,5,2,1,2,2,4,10
Food,310,292,281,296,1,4,1179
Food|Health,14,11,7,8,2,4,40
Food|Health|Knowledge,0,0,1,2,3,2,3
Food|Hobby,18,10,7,8,2,4,43
Food|Hobby|Pet,0,0,1,0,3,1,1
Food|Hobby|Tourism,1,0,0,0,3,1,1
Food|Knowledge,6,8,3,3,2,4,20
Food|Knowledge|Technology,0,1,1,3,3,3,5
Food|Pet,10,10,12,11,2,4,43
Food|Society,0,1,1,0,2,2,2
Food|Tourism,79,57,66,68,2,4,270
Food|Vehicle,1,1,1,2,2,4,5
Gaming,863,842,859,788,1,4,3352
Gaming|Hobby,8,10,9,20,2,4,47
Gaming|Humour,1,4,7,0,2,3,12
Gaming|Lifestyle,7,3,1,7,2,4,18
Gaming|Music,2,2,4,2,2,4,10
Gaming|Politics|Technology,0,0,1,2,3,2,3
Gaming|Sports,1,2,5,6,2,4,14
Gaming|Technology,20,30,28,21,2,4,99
Gaming|Vehicle,1,1,0,2,2,3,4
Health,79,56,48,54,1,4,237
Health|Knowledge,14,13,10,5,2,4,42
Health|Knowledge|Society,0,1,1,5,3,3,7
Health|Music|Religion,5,11,6,0,3,3,22
Health|Pet,1,1,6,2,2,4,10
Health|Religion,3,4,5,4,2,4,16
Health|Society,33,23,26,22,2,4,104
Health|Sports,23,19,14,15,2,4,71
Health|Tourism,1,0,0,1,2,2,2
Hobby,154,118,161,193,1,4,626
Hobby|Knowledge,2,4,5,4,2,4,15
Hobby|Knowledge|Technology,0,0,0,1,3,1,1
Hobby|Music,12,7,5,8,2,4,32
Hobby|Music|Tourism,3,2,4,4,3,4,13
Hobby|Pet,0,1,1,3,2,3,5
Hobby|Religion|Tourism,9,5,2,0,3,3,16
Hobby|Society,2,0,2,4,2,3,8
Hobby|Sports,16,2,5,2,2,4,25
Hobby|Sports|Tourism,0,1,2,1,3,3,4
Hobby|Technology,19,19,10,9,2,4,57
Hobby|Tourism,44,42,70,70,2,4,226
Hobby|Tourism|Vehicle,1,0,1,1,3,3,3
Hobby|Vehicle,4,3,1,6,2,4,14
Humour,122,98,89,102,1,4,411
Humour|Lifestyle,1,1,1,1,2,4,4
Humour|Music,2,4,7,5,2,4,18
Humour|Pet,4,4,4,5,2,4,17
Humour|Politics,11,7,6,4,2,4,28
Humour|Sports,14,9,0,0,2,2,23
Knowledge,582,489,459,485,1,4,2015
Knowledge|Lifestyle,200,151,160,182,2,4,693
Knowledge|Lifestyle|Music,2,1,5,3,3,4,11
Knowledge|Lifestyle|Religion,7,4,0,3,3,3,14
Knowledge|Lifestyle|Society,20,22,35,30,3,4,107
Knowledge|Music,0,0,2,9,2,2,11
Knowledge|Pet,23,26,29,30,2,4,108
Knowledge|Politics,24,15,15,13,2,4,67
Knowledge|Religion,13,12,21,15,2,4,61
Knowledge|Society,129,99,109,134,2,4,471
Knowledge|Society|Technology,4,4,4,1,3,4,13
Knowledge|Society|Vehicle,5,4,3,3,3,4,15
Knowledge|Technology,81,84,79,75,2,4,319
Knowledge|Tourism,4,6,5,7,2,4,22
Knowledge|Vehicle,21,27,39,28,2,4,115
Lifestyle,620,560,532,524,1,4,2236
Lifestyle|Music,264,184,188,200,2,4,836
Lifestyle|Music|Religion,133,142,119,94,3,4,488
Lifestyle|Music|Society,0,0,1,0,3,1,1
Lifestyle|Politics,28,20,17,11,2,4,76
Lifestyle|Religion,109,99,95,87,2,4,390
Lifestyle|Society,26,29,35,19,2,4,109
Lifestyle|Sports,167,110,97,67,2,4,441
Music,781,715,980,759,1,4,3235
Music|Religion,72,59,88,82,2,4,301
Music|Technology,1,0,2,4,2,3,7
Music|Tourism,49,15,9,18,2,4,91
Music|Vehicle,11,12,12,16,2,4,51
Pet,52,47,75,66,1,4,240
Politics,7895,5331,4329,4278,1,4,21833
Religion,451,319,342,337,1,4,1449
Religion|Technology,13,13,22,42,2,4,90
Religion|Tourism,24,12,9,19,2,4,64
Religion|Vehicle,2,4,4,4,2,4,14
Society,818,472,512,587,1,4,2389
Society|Sports,50,35,45,31,2,4,161
Society|Technology,0,0,0,1,2,1,1
Society|Tourism,11,15,13,1,2,4,40
Society|Vehicle,6,4,4,5,2,4,19
Sports,229,189,194,221,1,4,833
Sports|Vehicle,30,31,19,19,2,4,99
Technology,245,237,247,276,1,4,1005
Technology|Tourism,6,3,2,0,2,3,11
Technology|Vehicle,4,2,1,1,2,4,8
Tourism,517,516,512,454,1,4,1999
Tourism|Vehicle,45,21,18,16,2,4,100
Vehicle,455,371,416,389,1,4,1631
