horizon_days,fold,training_rows,validation_rows,training_channels,validation_channels,channel_overlap
7,1,13238,3310,1171,230,0
7,2,13238,3310,1114,287,0
7,3,13238,3310,1106,295,0
7,4,13239,3309,1107,294,0
7,5,13239,3309,1106,295,0
14,1,10038,2510,1110,238,0
14,2,10038,2510,1077,271,0
14,3,10038,2510,1068,280,0
14,4,10039,2509,1069,279,0
14,5,10039,2509,1068,280,0
21,1,9657,2415,1053,247,0
21,2,9657,2415,1039,261,0
21,3,9658,2414,1036,264,0
21,4,9658,2414,1036,264,0
21,5,9658,2414,1036,264,0
30,1,9442,2361,1068,252,0
30,2,9442,2361,1053,267,0
30,3,9442,2361,1053,267,0
30,4,9443,2360,1053,267,0
30,5,9443,2360,1053,267,0
